Date,MXWO,MXWD,LEGATRUU,HFRXGL,RX1,TY1,GC1,CO1,ES1,VG1,NQ1,LLL1,TP1,DU1,TU2
23/10/2007,1633.440,414.140,350.214,1343.630,113.700,110.516,759.000,82.850,1525.500,4393.000,2212.000,1287.000,1570.500,103.385,103.719
30/10/2007,1663.890,423.260,352.541,1356.530,113.790,110.656,787.800,87.440,1536.000,4476.000,2217.750,1323.900,1610.500,103.410,103.813
06/11/2007,1651.590,419.510,354.176,1360.200,113.790,110.875,823.400,93.260,1525.000,4425.000,2233.500,1320.000,1575.500,103.410,104.047
13/11/2007,1601.810,405.980,357.222,1347.160,114.350,111.719,799.000,88.830,1483.250,4323.000,2066.750,1271.000,1440.500,103.595,104.305
20/11/2007,1570.740,398.540,359.445,1335.210,114.720,113.156,791.400,95.490,1446.000,4296.000,2035.500,1225.200,1472.500,103.800,104.945
27/11/2007,1561.930,395.110,361.765,1325.030,115.080,113.953,814.000,92.520,1426.500,4241.000,2032.500,1196.200,1485.000,103.925,105.102
04/12/2007,1593.080,404.260,361.240,1331.550,115.180,114.656,801.300,89.530,1463.250,4351.000,2062.250,1240.000,1512.000,103.730,105.313
11/12/2007,1619.770,411.450,357.378,1337.570,113.740,114.391,811.400,89.990,1478.000,4458.000,2090.000,1239.000,1568.000,103.585,105.172
18/12/2007,1556.840,394.000,353.410,1323.530,113.180,113.641,803.000,90.120,1455.750,4317.000,2029.250,1180.500,1467.500,103.345,104.828
25/12/2007,1592.400,403.780,352.217,1325.460,112.950,112.094,812.800,92.700,1506.500,4398.630,2148.000,1261.800,1505.000,103.325,104.742
01/01/2008,1588.800,403.260,357.535,1330.620,113.110,113.391,838.000,93.850,1477.250,4435.000,2104.750,1233.100,1470.000,103.355,105.125
08/01/2008,1526.910,388.390,361.832,1322.420,114.680,115.156,880.300,95.540,1397.000,4333.000,1928.500,1199.500,1401.000,103.665,105.719
15/01/2008,1494.110,380.130,366.535,1314.230,115.810,116.094,902.600,90.980,1388.000,4176.000,1912.000,1182.700,1348.500,103.995,106.125
22/01/2008,1391.490,351.340,365.550,1290.400,116.070,117.828,890.300,88.450,1309.250,3789.000,1801.000,1091.100,1213.000,104.435,106.711
29/01/2008,1458.250,368.630,366.092,1290.070,116.090,116.531,925.100,92.000,1362.000,3828.000,1812.000,1114.000,1328.000,104.295,106.359
05/02/2008,1436.180,364.580,366.714,1310.000,117.380,117.438,885.900,88.820,1343.250,3731.000,1785.000,1098.200,1357.500,104.745,106.898
12/02/2008,1438.120,364.050,364.654,1305.190,116.460,116.891,907.400,92.860,1349.750,3816.000,1790.000,1119.600,1278.000,104.850,106.875
19/02/2008,1453.420,369.420,363.725,1312.880,116.210,115.625,926.600,98.560,1355.500,3816.000,1781.500,1156.200,1346.000,104.835,106.625
26/02/2008,1487.420,377.750,364.779,1320.790,115.410,115.953,946.100,99.470,1382.750,3863.000,1796.750,1194.500,1356.500,104.435,106.703
04/03/2008,1432.950,364.160,374.133,1325.390,117.750,118.578,966.300,97.520,1327.000,3615.000,1742.500,1127.700,1264.000,104.805,107.484
11/03/2008,1420.860,360.780,373.748,1313.430,117.470,118.703,976.000,105.250,1324.000,3615.000,1750.500,1155.600,1229.500,105.040,107.180
18/03/2008,1424.580,359.640,382.031,1302.560,117.590,120.703,1004.300,105.560,1332.500,3558.000,1764.750,1109.000,1152.500,105.085,107.352
25/03/2008,1448.570,366.430,378.637,1280.920,116.250,118.531,935.000,100.600,1351.500,3552.000,1826.000,1123.300,1243.000,104.425,106.922
01/04/2008,1467.760,371.150,376.127,1292.000,115.340,117.719,882.900,100.170,1370.500,3674.000,1857.750,1165.900,1236.000,104.350,106.820
08/04/2008,1486.770,376.900,377.424,1300.300,114.960,117.469,914.000,106.340,1371.000,3724.000,1854.750,1168.000,1284.000,104.230,106.750
15/04/2008,1456.900,370.080,379.112,1300.710,115.530,117.406,928.700,111.310,1336.000,3604.000,1796.750,1153.600,1252.500,104.345,106.836
22/04/2008,1503.290,381.950,377.615,1311.030,113.760,116.250,922.300,115.950,1380.750,3661.000,1895.000,1187.600,1312.500,103.560,106.023
29/04/2008,1510.020,383.110,373.181,1311.130,114.050,115.391,876.800,113.430,1391.250,3731.000,1939.000,1174.500,1361.000,103.845,105.758
06/05/2008,1537.270,390.540,373.046,1313.220,113.980,114.844,877.700,120.310,1420.750,3796.000,1999.000,1237.000,1375.500,103.815,105.750
13/05/2008,1526.120,387.670,372.650,1316.180,114.350,114.922,869.600,124.100,1404.750,3773.000,2006.000,1207.300,1364.500,103.705,105.508
20/05/2008,1547.880,393.600,375.337,1325.750,113.580,115.969,920.200,127.840,1417.500,3813.000,2009.500,1232.700,1402.000,103.390,105.844
27/05/2008,1512.950,384.210,373.295,1326.930,112.700,114.813,907.900,128.310,1384.750,3708.000,1993.000,1194.900,1368.000,103.005,105.508
03/06/2008,1509.230,383.320,370.042,1327.020,111.610,115.672,881.600,124.580,1378.500,3743.000,1998.250,1188.100,1402.000,102.745,105.781
10/06/2008,1469.130,372.350,365.263,1330.630,111.170,113.734,867.900,131.020,1356.250,3580.000,1973.250,1146.900,1383.500,102.370,104.891
17/06/2008,1468.740,372.480,364.120,1324.760,110.200,113.063,884.300,133.720,1351.000,3558.000,1976.500,1133.500,1406.000,102.190,104.867
